,tiempo,fecha,time_seg,lat,lon,ele,dist,time_elapse,desnivel,acum_dist,new_ele,tramo,tramos_100,bearing,wind,mult
0,0,0,0,36.49215462617576,-4.951194394379854,7.400000095367432,0.0,0,0.0,0.0,8.482331375747133,0,0,0.0,0.0,0.0
1,0,0,0,36.49220567196608,-4.951219204813242,7.599999904632568,6.085049924025828,0,0.1999998092651367,6.085049924025828,8.303445765909213,0,0,244.04666051312864,64.04666051312864,0.4376390419808143
2,0,0,0,36.49225822649896,-4.951245943084359,7.599999904632568,6.304790446318348,0,0.0,12.38984037034418,8.138315336774655,0,0,245.0600854984743,65.06008549847431,0.4216675938128794
3,0,0,0,36.49242477491498,-4.951433781534433,7.599999904632568,24.99655542523651,0,0.0,37.38639579558069,7.986940088343459,0,0,258.1434209710893,78.14342097108931,0.20546257407142113
4,0,0,0,36.492467103526,-4.951483821496367,7.800000190734863,6.493475723151105,0,0.2000002861022949,43.8798715187318,7.849320020615628,0,0,258.6719568771216,78.6719568771216,0.19642607752497462
5,0,0,0,36.49257296696305,-4.951553726568818,7.800000190734863,13.3129188225497,0,0.0,57.19279034128149,7.725455133591159,0,0,250.2644515877297,70.2644515877297,0.3376793165124371
6,0,0,0,36.49280682206154,-4.951641652733088,7.800000190734863,27.11994521219963,0,0.0,84.31273555348113,7.615345427270052,0,0,237.7756941342362,57.775694134236204,0.533235197963899
7,0,0,0,36.49292928166687,-4.951653052121401,7.800000190734863,13.62744711436566,0,0.0,97.9401826678468,7.518990901652309,0,0,201.4415592261787,21.441559226178697,0.9307909092874251
8,0,0,0,36.49316565133631,-4.951594211161137,8.0,26.75410030281398,0,0.1999998092651367,124.6942829706608,7.436391556737928,0,0,133.58140111088187,46.41859888911813,0.6893844326368659
9,0,0,0,36.49338223971426,-4.951471583917737,8.600000381469727,26.42674840162824,0,0.6000003814697266,151.121031372289,7.367547392526911,0,1,112.69692127971058,67.30307872028942,0.38585647028468456
10,0,0,0,36.49349430575967,-4.95139891281724,9.199999809265137,14.03723596772471,0,0.5999994277954102,165.1582673400137,7.312458409019255,0,1,110.05565013193714,69.94434986806286,0.34293268465342824
11,0,0,0,36.49384601041675,-4.951086519286036,9.600000381469727,48.02733046823177,0,0.4000005722045898,213.1855978082455,7.271124606214964,0,1,104.90527949072302,75.09472050927698,0.2572218382996859
12,0,0,0,36.49428606033325,-4.950634064152837,9.0,63.46600344575683,0,-0.6000003814697266,276.6516012540023,7.243545984114035,0,2,102.92641853982366,77.07358146017634,0.2236995453928557
13,0,0,0,36.49435210973024,-4.950564410537481,8.800000190734863,9.626372999388133,0,-0.1999998092651367,286.2779742533905,7.229722542716469,0,2,102.61056962645402,77.38943037354598,0.21832326971594065
14,0,0,0,36.49468990042806,-4.950215891003609,7.400000095367432,48.7867100735787,0,-1.400000095367432,335.0646843269692,7.229654282022265,0,2,102.86186884524,77.13813115476,0.22260134920454158
15,0,0,0,36.49502358399332,-4.949861420318484,6.400000095367432,48.7827777505405,0,-1.0,383.8474620775097,7.243341202031166,1,3,102.48627180270779,77.51372819729221,0.21620568501427725
16,0,0,0,36.49509130977094,-4.949789503589272,6.0,9.899483060795468,0,-0.4000000953674316,393.7469451383052,7.190211444354548,2,3,102.48774639109172,77.51225360890828,0.21623081264306335
17,0,0,0,36.49555340409279,-4.949298072606325,5.400000095367432,67.58768160070449,0,-0.5999999046325684,461.3346267390097,7.146647887037274,2,3,102.44444169981838,77.55555830018162,0.2154928222412139
18,0,0,0,36.49568189866841,-4.949164800345898,5.400000095367432,18.5982158225768,0,0.0,479.9328425615864,7.13564575298283,2,4,102.74348295705249,77.25651704294751,0.22058649439672595
19,0,0,0,36.49611138738692,-4.94871879927814,5.800000190734863,62.19506149793548,0,0.4000000953674316,542.1279040595219,7.162584749484439,3,4,102.70530298129421,77.29469701870579,0.21993649350717143
20,0,0,0,36.49622638709843,-4.948596591129899,6.0,16.81482496086805,0,0.1999998092651367,558.94272902039,7.233046855611869,3,5,102.41895136992645,77.58104863007355,0.2150583632516935
21,0,0,0,36.49646694771945,-4.948263326659799,6.199999809265137,40.05192610973396,0,0.1999998092651367,598.9946551301239,7.325250292899365,3,5,99.57472793415903,80.42527206584097,0.16633382662846238
22,0,0,0,36.49661220610142,-4.947878178209066,7.199999809265137,38.08655307931381,0,1.0,637.0812082094377,7.436970367435236,3,5,95.0288115083792,84.9711884916208,0.08765667387326939
23,0,0,0,36.49667649529874,-4.94763501919806,7.800000190734863,22.9241550114528,0,0.6000003814697266,660.0053632208906,7.54134893856124,3,6,93.52638548833966,86.47361451166034,0.06150818774073625
24,0,0,0,36.49679476395249,-4.94714098982513,8.800000190734863,46.16718854106298,0,1.0,706.1725517619535,7.672727211913266,3,6,93.18715328699584,86.81284671300416,0.05559763575975147
25,0,0,0,36.49681228213012,-4.947054907679558,8.800000190734863,7.953694298927427,0,0.0,714.1262460608809,7.865446393127193,3,7,92.709138511568,87.290861488432,0.04726577016364055
26,0,0,0,36.4969515055418,-4.946359796449542,9.199999809265137,64.16593284868065,0,0.3999996185302734,778.2921789095616,8.13489726474782,3,7,92.65863955786247,87.34136044213753,0.046385363975695516
27,0,0,0,36.49697103537619,-4.946270864456892,9.199999809265137,8.257262121068651,0,0.0,786.5494410306302,8.482798998270459,3,7,92.9135224709402,87.0864775290598,0.05082864805977323
28,0,0,0,36.49708938784897,-4.945649346336722,9.0,57.21242863486044,0,-0.1999998092651367,843.7618696654906,8.84360393073195,3,7,92.52034669827026,87.47965330172974,0.0439741634916493
