Registro 104 ,Potencia Media: 263 , Tiempo Total 6794 
Registro 105 ,Potencia Media: 265 , Tiempo Total 6730 
Registro 106 ,Potencia Media: 268 , Tiempo Total 6730 
Registro 107 ,Potencia Media: 270 , Tiempo Total 6730 
Registro 108 ,Potencia Media: 272 , Tiempo Total 6730 
Registro 109 ,Potencia Media: 257 , Tiempo Total 6816 
Registro 110 ,Potencia Media: 260 , Tiempo Total 6821 
Registro 111 ,Potencia Media: 262 , Tiempo Total 6757 
Registro 112 ,Potencia Media: 265 , Tiempo Total 6757 
Registro 113 ,Potencia Media: 267 , Tiempo Total 6757 
Registro 114 ,Potencia Media: 269 , Tiempo Total 6757 
Registro 115 ,Potencia Media: 259 , Tiempo Total 6818 
Registro 116 ,Potencia Media: 261 , Tiempo Total 6823 
Registro 117 ,Potencia Media: 263 , Tiempo Total 6760 
Registro 118 ,Potencia Media: 266 , Tiempo Total 6760 
Registro 119 ,Potencia Media: 268 , Tiempo Total 6760 
Registro 120 ,Potencia Media: 271 , Tiempo Total 6760 
Registro 121 ,Potencia Media: 260 , Tiempo Total 6789 
Registro 122 ,Potencia Media: 262 , Tiempo Total 6794 
Registro 123 ,Potencia Media: 265 , Tiempo Total 6730 
Registro 124 ,Potencia Media: 267 , Tiempo Total 6730 
Registro 125 ,Potencia Media: 269 , Tiempo Total 6730 
Registro 126 ,Potencia Media: 272 , Tiempo Total 6730 
Registro 127 ,Potencia Media: 261 , Tiempo Total 6789 
Registro 128 ,Potencia Media: 263 , Tiempo Total 6794 
Registro 129 ,Potencia Media: 266 , Tiempo Total 6730 
Registro 130 ,Potencia Media: 268 , Tiempo Total 6731 
Registro 131 ,Potencia Media: 270 , Tiempo Total 6731 
Registro 132 ,Potencia Media: 273 , Tiempo Total 6731 
Registro 133 ,Potencia Media: 262 , Tiempo Total 6789 
Registro 134 ,Potencia Media: 264 , Tiempo Total 6794 
Registro 135 ,Potencia Media: 267 , Tiempo Total 6730 
Registro 136 ,Potencia Media: 269 , Tiempo Total 6731 
Registro 137 ,Potencia Media: 272 , Tiempo Total 6731 
Registro 138 ,Potencia Media: 274 , Tiempo Total 6731 
Registro 139 ,Potencia Media: 263 , Tiempo Total 6789 
Registro 140 ,Potencia Media: 265 , Tiempo Total 6794 
Registro 141 ,Potencia Media: 268 , Tiempo Total 6730 
Registro 142 ,Potencia Media: 270 , Tiempo Total 6731 
Registro 143 ,Potencia Media: 273 , Tiempo Total 6731 
Registro 144 ,Potencia Media: 275 , Tiempo Total 6731 
Registro 145 ,Potencia Media: 260 , Tiempo Total 6816 
Registro 146 ,Potencia Media: 263 , Tiempo Total 6821 
Registro 147 ,Potencia Media: 265 , Tiempo Total 6757 
Registro 148 ,Potencia Media: 267 , Tiempo Total 6757 
Registro 149 ,Potencia Media: 270 , Tiempo Total 6757 
Registro 150 ,Potencia Media: 272 , Tiempo Total 6757 
Registro 151 ,Potencia Media: 261 , Tiempo Total 6818 
Registro 152 ,Potencia Media: 264 , Tiempo Total 6823 
Registro 153 ,Potencia Media: 266 , Tiempo Total 6760 
Registro 154 ,Potencia Media: 269 , Tiempo Total 6760 
Registro 155 ,Potencia Media: 271 , Tiempo Total 6760 
Registro 156 ,Potencia Media: 273 , Tiempo Total 6760 
Registro 157 ,Potencia Media: 262 , Tiempo Total 6789 
Registro 158 ,Potencia Media: 265 , Tiempo Total 6794 
Registro 159 ,Potencia Media: 267 , Tiempo Total 6730 
Registro 160 ,Potencia Media: 270 , Tiempo Total 6730 
Registro 161 ,Potencia Media: 272 , Tiempo Total 6730 
Registro 162 ,Potencia Media: 274 , Tiempo Total 6730 
