Registro 28 ,Tramo 5 :  280 watios 
Registro 29 ,Tramo 1 :  250 watios 
Registro 29 ,Tramo 2 :  250 watios 
Registro 29 ,Tramo 3 :  250 watios 
Registro 29 ,Tramo 4 :  290 watios 
Registro 29 ,Tramo 5 :  290 watios 
Registro 30 ,Tramo 1 :  250 watios 
Registro 30 ,Tramo 2 :  250 watios 
Registro 30 ,Tramo 3 :  250 watios 
Registro 30 ,Tramo 4 :  290 watios 
Registro 30 ,Tramo 5 :  300 watios 
Registro 31 ,Tramo 1 :  250 watios 
Registro 31 ,Tramo 2 :  250 watios 
Registro 31 ,Tramo 3 :  250 watios 
Registro 31 ,Tramo 4 :  300 watios 
Registro 31 ,Tramo 5 :  250 watios 
Registro 32 ,Tramo 1 :  250 watios 
Registro 32 ,Tramo 2 :  250 watios 
Registro 32 ,Tramo 3 :  250 watios 
Registro 32 ,Tramo 4 :  300 watios 
Registro 32 ,Tramo 5 :  260 watios 
Registro 33 ,Tramo 1 :  250 watios 
Registro 33 ,Tramo 2 :  250 watios 
Registro 33 ,Tramo 3 :  250 watios 
Registro 33 ,Tramo 4 :  300 watios 
Registro 33 ,Tramo 5 :  270 watios 
Registro 34 ,Tramo 1 :  250 watios 
Registro 34 ,Tramo 2 :  250 watios 
Registro 34 ,Tramo 3 :  250 watios 
Registro 34 ,Tramo 4 :  300 watios 
Registro 34 ,Tramo 5 :  280 watios 
Registro 35 ,Tramo 1 :  250 watios 
Registro 35 ,Tramo 2 :  250 watios 
Registro 35 ,Tramo 3 :  250 watios 
Registro 35 ,Tramo 4 :  300 watios 
Registro 35 ,Tramo 5 :  290 watios 
Registro 36 ,Tramo 1 :  250 watios 
Registro 36 ,Tramo 2 :  250 watios 
Registro 36 ,Tramo 3 :  250 watios 
Registro 36 ,Tramo 4 :  300 watios 
Registro 36 ,Tramo 5 :  300 watios 
Registro 37 ,Tramo 1 :  250 watios 
Registro 37 ,Tramo 2 :  250 watios 
Registro 37 ,Tramo 3 :  260 watios 
Registro 37 ,Tramo 4 :  250 watios 
Registro 37 ,Tramo 5 :  250 watios 
Registro 38 ,Tramo 1 :  250 watios 
Registro 38 ,Tramo 2 :  250 watios 
Registro 38 ,Tramo 3 :  260 watios 
Registro 38 ,Tramo 4 :  250 watios 
Registro 38 ,Tramo 5 :  260 watios 
Registro 39 ,Tramo 1 :  250 watios 
Registro 39 ,Tramo 2 :  250 watios 
Registro 39 ,Tramo 3 :  260 watios 
Registro 39 ,Tramo 4 :  250 watios 
Registro 39 ,Tramo 5 :  270 watios 
Registro 40 ,Tramo 1 :  250 watios 
Registro 40 ,Tramo 2 :  250 watios 
Registro 40 ,Tramo 3 :  260 watios 
Registro 40 ,Tramo 4 :  250 watios 
Registro 40 ,Tramo 5 :  280 watios 
Registro 41 ,Tramo 1 :  250 watios 
Registro 41 ,Tramo 2 :  250 watios 
Registro 41 ,Tramo 3 :  260 watios 
Registro 41 ,Tramo 4 :  250 watios 
Registro 41 ,Tramo 5 :  290 watios 
Registro 42 ,Tramo 1 :  250 watios 
Registro 42 ,Tramo 2 :  250 watios 
Registro 42 ,Tramo 3 :  260 watios 
Registro 42 ,Tramo 4 :  250 watios 
Registro 42 ,Tramo 5 :  300 watios 
Registro 43 ,Tramo 1 :  250 watios 
Registro 43 ,Tramo 2 :  250 watios 
Registro 43 ,Tramo 3 :  260 watios 
Registro 43 ,Tramo 4 :  260 watios 
Registro 43 ,Tramo 5 :  250 watios 
Registro 44 ,Tramo 1 :  250 watios 
Registro 44 ,Tramo 2 :  250 watios 
Registro 44 ,Tramo 3 :  260 watios 
Registro 44 ,Tramo 4 :  260 watios 
Registro 44 ,Tramo 5 :  260 watios 
Registro 45 ,Tramo 1 :  250 watios 
Registro 45 ,Tramo 2 :  250 watios 
Registro 45 ,Tramo 3 :  260 watios 
Registro 45 ,Tramo 4 :  260 watios 
Registro 45 ,Tramo 5 :  270 watios 
Registro 46 ,Tramo 1 :  250 watios 
Registro 46 ,Tramo 2 :  250 watios 
Registro 46 ,Tramo 3 :  260 watios 
Registro 46 ,Tramo 4 :  260 watios 
Registro 46 ,Tramo 5 :  280 watios 
Registro 47 ,Tramo 1 :  250 watios 
Registro 47 ,Tramo 2 :  250 watios 
Registro 47 ,Tramo 3 :  260 watios 
Registro 47 ,Tramo 4 :  260 watios 
Registro 47 ,Tramo 5 :  290 watios 
Registro 48 ,Tramo 1 :  250 watios 
Registro 48 ,Tramo 2 :  250 watios 
Registro 48 ,Tramo 3 :  260 watios 
Registro 48 ,Tramo 4 :  260 watios 
Registro 48 ,Tramo 5 :  300 watios 
Registro 49 ,Tramo 1 :  250 watios 
Registro 49 ,Tramo 2 :  250 watios 
Registro 49 ,Tramo 3 :  260 watios 
Registro 49 ,Tramo 4 :  270 watios 
Registro 49 ,Tramo 5 :  250 watios 
Registro 50 ,Tramo 1 :  250 watios 
Registro 50 ,Tramo 2 :  250 watios 
Registro 50 ,Tramo 3 :  260 watios 
