,pwr,spd,porc,viento_aparente,k-means,gaussian
0,0.0,5.0,0.0,0.0,2,1
1,0.0,5.14174813742357,-11.731324455040527,9.363221835666568,2,1
2,0.0,5.1999998092651385,1.3985327383937758,9.817219655012657,2,1
3,0.0,5.23899899803467,-11.945909073077473,9.986843408480027,2,1
4,0.0,5.3000001907348615,-3.6899837133113365,9.813719342192753,2,1
5,0.0,5.35217889326895,-0.8670226306438431,8.174352596325951,2,1
6,0.0,6.05954031685971,-4.974327472439127,8.339579401513813,2,1
7,0.0,6.33899919354248,0.0,9.284702775324838,2,1
8,0.0,6.400000095367429,0.0,9.899499554859746,2,1
9,0.0,6.400000095367429,-4.2256400270253645,9.999783398175838,2,1
10,0.0,6.400000095367429,0.0,9.994008587834626,2,1
11,0.0,8.8340020783081,-3.9608159567501553,9.993142230568765,2,1
12,346.39277631432503,9.41304274326803,0.0,10.0,0,3
13,63.0,9.5,0.0,9.999817577975506,1,3
14,0.0,9.60000038146973,-2.437405942571224,9.993029981797612,2,1
15,0.0,9.60000038146973,2.317057589031065,9.998428262610123,2,1
16,0.0,9.60000038146973,-2.896292476268421,9.999396298594855,2,1
17,0.0,9.79500198146973,-7.086309435803777,9.997469264730068,2,1
18,0.0,10.177998387085001,-7.120592027185084,10.0,2,1
19,0.0,10.3297714751949,-4.448774235543649,10.0,2,1
20,0.0,10.3999996185303,-0.8383513170616878,9.997471188263576,2,1
21,0.0,10.3999996185303,-10.729501003201404,9.990659902194476,2,1
22,0.0,10.4394709269955,-9.455471774905062,9.998643909317364,2,1
23,0.0,10.6297716659298,0.0,9.996115014243696,2,1
24,0.0,10.6999998092651,-0.84455187850661,9.99422678860032,2,1
25,0.0,10.6999998092651,-8.034564579808812,9.998628085774024,2,1
26,0.0,9.64400380758057,0.0,9.996980664983118,2,1
27,0.0,9.26100100196533,-4.563551027052238,9.995978527546821,2,1
28,0.0,9.18714331466249,-0.5812096746765781,9.999014589461948,2,1
29,0.0,8.961000811230472,-9.642647006440136,9.998027864245092,2,1
30,0.0,8.76000003814697,-2.6267749903000457,9.999776716674091,2,1
31,0.0,8.811594165983369,-0.4638559950576595,9.999229268860038,2,1
32,0.0,8.93899880729981,-8.747083046902796,9.997818472059324,2,1
33,0.0,9.0,-4.408064662957754,9.994339617594758,2,1
34,0.0,9.02014289844681,0.0,9.992540281301851,2,1
35,0.0,9.16834431520792,0.0,9.999856796865917,2,1
36,0.0,9.60800006866455,-2.6640854325125645,9.99192120946568,2,1
37,0.0,9.917001225122073,-6.527651027560418,9.976209795236976,2,1
38,0.0,10.1409998268677,-6.472556951918075,9.982509969926172,2,1
39,0.0,10.2297713776479,-3.972730598834424,9.988944417332178,2,1
40,0.0,10.376189524110199,0.0,9.992219678741009,2,1
41,0.0,11.184706367297599,0.0,9.988189210428283,2,1
42,0.0,11.4779979960693,0.0,9.994127963906488,2,1
43,0.0,11.6400001525879,-2.3793396499763664,9.999044994199341,2,1
44,0.0,11.6999998092651,-7.383245857928318,9.98611461991912,2,1
45,0.0,11.688405618938999,-10.638794246339174,9.990588554800416,2,1
46,0.0,11.6000003814697,-9.305305152894686,9.999949848278536,2,1
47,0.0,11.6000003814697,-4.452629688482773,9.825634597680812,2,1
48,158.044348235294,10.348526677353801,-2.940619665752933,9.388696459714756,3,2
49,236.80941539724301,9.308396126761007,-5.144775539357583,8.32111999584961,4,2
50,202.849728,8.682999156347659,0.0,5.5259430973261185,4,3
51,162.478184246652,8.2869570659971,0.0,3.815835568594301,3,3
52,163.8299904,8.199999809265138,0.0,2.631945828670733,3,3
53,193.98516530228198,8.32910487962172,0.0,3.1019466842357035,4,3
54,186.588235294118,8.39999961853027,0.0,2.6835511160421004,3,3
55,201.73913850035197,8.41159391942787,-0.6594955387987261,2.4026484779731563,4,4
56,218.5100288,8.60000038146973,-2.835846248873904,2.683696170705592,4,4
57,200.800064,8.699999809265138,3.3745689554123146,2.085157032764392,4,4
58,184.04348310021095,8.699999809265138,0.0,3.83696423187688,3,3
59,186.73913850035197,8.699999809265138,0.0,4.016482291343598,3,3
60,207.049984,8.699999809265138,0.0,4.864206892132083,4,3
61,182.0,8.699999809265138,0.0,5.2345616448040255,3,3
62,213.8299904,8.699999809265138,0.0,5.737851215909039,4,3
63,193.70300103921105,8.699999809265138,0.0,5.974487629041043,3,3
64,182.114249142857,8.699999809265138,0.0,6.769198201714247,3,3
65,213.89099688236598,8.699999809265138,0.0,7.448677455615027,4,3
66,195.4199296,8.699999809265138,0.0,7.584968546393987,4,3
67,207.39131080028199,8.699999809265138,0.0,7.609387113630983,4,3
