,pwr,spd,porc,viento_aparente,x_tsne,y_tsne,z_tsne
0,0.0,5.0,0.0,0.0,-1.6877732191719346,6.267897604268654,3.8982775829446332
1,0.0,5.14174813742357,-11.731324455040527,9.363221835666568,3.3341011827774034,-3.1270260333783924,5.262300219528829
2,0.0,5.199999809265139,1.3985327383937758,9.817219655012657,-1.7286070261449868,6.21949333825249,3.933777824160675
3,0.0,5.23899899803467,-11.945909073077473,9.986843408480027,3.3415622776901808,-3.1458791186031667,5.253955679256253
4,0.0,5.300000190734861,-3.689983713311337,9.813719342192753,-0.3242824571552224,-1.608543674129269,4.86289017336763
5,0.0,5.35217889326895,-0.8670226306438431,8.174352596325951,-1.7384531507177512,6.172399593803083,3.86255111230392
6,0.0,6.05954031685971,-4.974327472439127,8.339579401513813,-0.38924061786135467,-1.5263034125522885,4.860177464323548
7,0.0,6.33899919354248,0.0,9.284702775324838,-1.9117520179628809,5.726861001202661,3.478523041725057
8,0.0,6.400000095367429,0.0,9.899499554859746,-1.922578420616032,5.693538624798416,3.446317953448731
9,0.0,6.400000095367429,-4.225640027025364,9.999783398175838,-0.42675930349408914,-1.6057772841817135,4.828763858488902
10,0.0,6.400000095367429,0.0,9.994008587834626,-1.922521926098811,5.694854087322208,3.4479122740687935
11,0.0,8.8340020783081,-3.9608159567501553,9.993142230568765,-1.646549946849713,-2.0798836359464157,4.2757466509023905
12,346.39277631432503,9.41304274326803,0.0,10.0,1.0727653943125293,-2.678325308729942,-2.795961745218753
13,63.0,9.5,0.0,9.999817577975506,1.5245295303405018,2.765376630355485,2.9146503397888956
14,0.0,9.60000038146973,-2.437405942571224,9.993029981797612,-2.7297372471866894,-3.0481743365708227,3.8771847030715834
15,0.0,9.60000038146973,2.317057589031065,9.998428262610123,-3.245119787307926,-2.3638695849404345,6.702202890402781
16,0.0,9.60000038146973,-2.8962924762684215,9.999396298594855,-2.675653504223096,-2.7846730532060984,3.8153708888333067
17,0.0,9.79500198146973,-7.086309435803778,9.997469264730068,2.223413873918391,-0.35153431658987894,5.956165958387959
18,0.0,10.177998387085001,-7.120592027185084,10.0,2.2408487624755704,-0.291913388794996,6.080778076352
19,0.0,10.3297714751949,-4.448774235543649,10.0,-2.8294680365999887,-1.405993213557562,4.332458634137859
