,target,Y_pred,dist_log,porc,viento_aparente,pwr,spd,dist,prueba
37,1,0,2.955118338309821,0.08442155832973504,-6.027853670577458,64.1700501766423,34.56719127666147,19.20399515370082,20180415_LEVS_195_90_R_E.gpx
38,0,0,2.833213344056216,-0.007052218041494866,-5.825958835778462,90.1937369146962,30.6,17.0,20180415_LEVS_195_90_R_E.gpx
66,0,0,7.991429388007021,-3.070759114333959,-7.585914670254474,175.7271567936984,43.96639127163915,2955.518524371299,20180422_LEVS_195_90_R_E.gpx
62,1,0,2.427695337169076,-0.04873472114341066,25.43773561540255,55.1999590405243,20.39892089345085,11.33273382969492,20180415_LEVS_195_90_R_E.gpx
5,0,0,6.2422232654551655,2.552640772228497,-3.844939871296388,270.5886307803854,22.56585365853659,514.0,20180422_LEVS_195_90_R_E.gpx
122,0,0,3.516715048626025,-0.147209116013751,-6.200561116889467,263.7512348092343,40.40835641040467,33.67363034200389,20180415_LEVS_195_90_R_E.gpx
83,0,0,6.299555690461072,2.01497177180718,21.73104603758204,223.351979294628,25.7840528862269,544.3300053759012,20180415_LEVS_195_90_R_E.gpx
51,0,0,8.4837100536233,4.990099413684296,0.01192908277232559,254.6935175657487,16.61000183672015,4835.356090245201,20180415_LEVS_195_90_R_E.gpx
30,0,0,6.703497796851666,-0.9331496626999246,5.89401496715644,93.67807572079727,27.95151192780667,815.2524312276946,20180406_LEVS_195_90_R_E.gpx
22,1,1,9.23728119122086,-6.677409634473724,-0.002796167776577398,55.688525551422,47.53605674776351,10273.0700416,20180406_LEVS_195_90_R_E.gpx
24,0,0,6.245901023781367,-1.276232235789343,5.807017494512465,92.89480770119172,28.13966444743631,515.8938482029989,20180406_LEVS_195_90_R_E.gpx
6,0,0,6.635946555686647,-1.186858688947663,-9.06465883155228,176.0715567374653,32.65714285714286,762.0,20180422_LEVS_195_90_R_E.gpx
67,0,0,5.191895965057581,0.5820827956595995,-7.176267397421673,195.9332080588642,26.97137127111055,179.8091418074036,20180406_LEVS_195_90_R_E.gpx
16,0,0,5.342334251964811,-0.5015807398417217,5.852854270243405,131.0341190148842,25.08,209.0,20180422_LEVS_195_90_R_E.gpx
89,0,0,7.805128214960167,5.452839610222722,16.52905192663678,227.0696834024652,14.06264363495939,2453.150056320694,20180415_LEVS_195_90_R_E.gpx
36,0,1,7.957877358489813,-4.727483376833121,-6.75361463899029,97.6038944763959,44.73391304347827,2858.0,20180422_LEVS_195_90_R_E.gpx
73,0,0,7.311277081913599,1.848148279983113,21.1226940996934,255.0075212556774,32.08045441558721,1497.087872727403,20180415_LEVS_195_90_R_E.gpx
2,0,0,4.276666119016055,-0.2440415234351197,5.502116176493622,202.4646226378749,28.8,72.0,20180422_LEVS_195_90_R_E.gpx
90,1,1,7.493884966950051,-5.83065103627928,-11.89973300784589,13.11646224753148,43.41793073966569,1797.019911169496,20180415_LEVS_195_90_R_E.gpx
22,0,0,6.021665884170589,-0.8549666564867043,-9.036969631413456,163.3505404927502,32.26420247570618,412.2648094118013,20180422_LEVS_195_90_R_E.gpx
6,0,0,6.568077911411976,-1.730661365554174,8.56213797538183,81.67073076419639,36.10140845070423,712.0,20180406_LEVS_195_90_R_E.gpx
74,0,0,6.349016570545768,-0.6315796728633352,-8.619094840519754,151.3407796106418,33.20883752336142,571.9299795690022,20180406_LEVS_195_90_R_E.gpx
33,0,0,5.460861159736705,0.2746140251271925,-10.13510455943811,251.9131093219251,32.57999556923068,235.2999679999994,20180422_LEVS_195_90_R_E.gpx
57,1,0,2.755663076386354,0.1280138098027941,-9.452838846704868,68.5366656,18.87776233271579,15.73146861059649,20180406_LEVS_195_90_R_E.gpx
61,0,0,6.410567153507912,1.916084051494495,-8.572663828118074,220.1667031927183,22.57380177706742,608.2385478820943,20180406_LEVS_195_90_R_E.gpx
25,0,0,6.098523763157004,1.081617389707073,3.601939437338369,131.522378308617,20.54769526153866,445.2000640000042,20180406_LEVS_195_90_R_E.gpx
4,0,0,2.906103948692231,-0.0403003273372541,-10.70401572749789,148.409976447699,32.91375362058016,18.28541867810009,20180415_LEVS_195_90_R_E.gpx
64,0,0,5.355878114554682,-0.670211768767337,15.22250054886092,124.0339294819189,2.375886989165604,211.8499232005997,20180415_LEVS_195_90_R_E.gpx
118,0,0,6.042286075533094,-2.557812063154315,-7.411638249817245,100.998156808024,36.07320343945716,420.8540401270002,20180415_LEVS_195_90_R_E.gpx
