,timeoffset,hr,spd,pwr,cad,dist,lat,lon,alt,temp,prueba,dist_c,ele_gain,porc,spd_c,bearing,wind,mult,viento_aparente,spd_prev,ele_prev,timeoffset_prev,new_ele,time_seg,tramo,tramos_100,altura,peso,tpo_bici,tpo_entreno
10,27883,,6.40000009536743,0.0,0.0,134.0,40.51954,-3.931122,657.0,22.5884060805721,20180406_LEVS_195_90_R_E,13.50714485067251,0.0,0.0,13.50714485067251,271.98346213804484,1.9834621380448425,0.9994008587834627,9.994008587834628,11.832527068141552,657.0,27882,657.4248592465325,18,0,1,195,90,R,E
11,27885,,8.8340020783081,0.0,0.0,153.0,40.519552,-3.93135,656.0,22.5609999126953,20180406_LEVS_195_90_R_E,25.24732304957938,-1.0,-3.9608159567501553,12.62366152478969,272.1220415936002,2.1220415936002155,0.9993142230568767,9.993142230568766,13.50714485067251,657.0,27883,656.9565892773716,20,0,1,195,90,R,E
12,27887,,9.41304274326803,346.392776314325,127.0,172.0,40.519552,-3.931569,656.0,22.5,20180406_LEVS_195_90_R_E,24.216909539824638,0.0,0.0,12.108454769912319,270.0000000410993,4.1099326608673437e-08,1.0,10.0,12.62366152478969,656.0,27885,656.4705815934631,22,0,1,195,90,R,E
13,27890,,9.5,63.0,102.0,192.0,40.519554,-3.931802,656.0,22.5,20180406_LEVS_195_90_R_E,25.765980013153683,0.0,0.0,8.588660004384561,270.34608033782365,0.34608033782365055,0.9999817577975506,9.999817577975506,12.108454769912319,656.0,27887,655.9668361948067,25,0,1,195,90,R,E
14,27891,,9.60000038146973,0.0,102.0,211.0,40.519542,-3.932028,655.3900032,22.5,20180406_LEVS_195_90_R_E,25.026475456791964,-0.6099967999999762,-2.4374059425712242,25.026475456791964,267.86065998258107,2.139340017418931,0.9993029981797612,9.993029981797612,8.588660004384561,656.0,27890,655.4453530814025,26,0,1,195,90,R,E
15,27893,,9.60000038146973,0.0,102.0,232.275368233592,40.519536,-3.932266,656.0,22.5,20180406_LEVS_195_90_R_E,26.32635472194118,0.6099967999999762,2.317057589031065,13.16317736097059,268.9841412842819,1.0158587157180818,0.9998428262610125,9.998428262610124,25.026475456791964,655.3900032,27891,654.906132253227,28,0,2,195,90,R,E
16,27895,,9.60000038146973,0.0,102.0,246.099968,40.519538,-3.932394,655.5900032,22.5,20180406_LEVS_195_90_R_E,14.155918414989763,-0.40999680000004446,-2.896292476268421,7.077959207494882,270.6295799785972,0.6295799785971781,0.9999396298594855,9.999396298594855,13.16317736097059,656.0,27893,654.4430686564884,30,0,2,195,90,R,E
17,27895,,9.79500198146973,0.0,102.0,256.2900352,40.519534,-3.932519,654.6099968,22.5,20180406_LEVS_195_90_R_E,13.829573897076372,-0.9800063999999793,-7.086309435803779,inf,268.7109488561872,1.2890511438127987,0.9997469264730068,9.997469264730068,7.077959207494882,655.5900032,27895,653.9872770024037,30,0,2,195,90,R,E
18,27896,,10.177998387085,0.0,102.0,267.2898944,40.519534,-3.932646,653.6100096,22.5,20180406_LEVS_195_90_R_E,14.043596321516535,-0.9999871999999641,-7.120592027185084,14.043596321516535,270.0000000410993,4.1099326608673437e-08,1.0,10.0,inf,654.6099968,27895,653.5225070352578,31,0,2,195,90,R,E
19,27897,,10.3297714751949,0.0,102.0,276.977145481371,40.519534,-3.93277,653.0,22.5,20180406_LEVS_195_90_R_E,13.711857866967433,-0.6100096000000121,-4.448774235543649,13.711857866967433,270.0000000410993,4.1099326608673437e-08,1.0,10.0,14.043596321516535,653.6100096,27896,652.9136307137496,32,0,2,195,90,R,E
20,27898,,10.3999996185303,0.0,102.0,285.275344574916,40.51953,-3.932895,652.884059584099,22.5,20180406_LEVS_195_90_R_E,13.829574015269934,-0.11594041590103643,-0.8383513170616878,13.829574015269934,268.71143885389336,1.2885611461066446,0.9997471188263575,9.997471188263575,13.711857866967433,653.0,27897,652.2269727128114,33,0,2,195,90,R,E
21,27900,,10.3999996185303,0.0,102.0,298.637068387097,40.519522,-3.933025,651.33871483871,22.5,20180406_LEVS_195_90_R_E,14.402764349692605,-1.5453447453890021,-10.729501003201403,7.2013821748463025,267.5234497124212,2.476550287578789,0.9990659902194479,9.990659902194478,13.829574015269934,652.884059584099,27898,651.5131593038055,35,0,2,195,90,R,E
22,27900,,10.4394709269955,0.0,102.0,308.170913684211,40.519519,-3.933153,650.0,22.5,20180406_LEVS_195_90_R_E,14.15809671457036,-1.3387148387099614,-9.455471774905062,inf,269.0564022334901,0.9435977665099244,0.9998643909317364,9.998643909317364,7.2013821748463025,651.33871483871,27900,650.768515591805,35,0,2,195,90,R,E
