,tramo,tramo_inicial,tramo_final,pwr,time_seg,dist,spd,viento_aparente,porc,dist_acum,prueba,puntos_en_tramo,S,Z,T,CdA
52,52,6531,6582,154.4504690709223,89,806.2300544000027,32.6115527622473,-8.12977385905734,-1.139542824991412,90746.6,20180406_LEVS_195_90_R_E.gpx,51,-0.011394688440824313,-124.07410115670336,22.69570833641507,-0.3048676573761191
59,59,6595,6620,209.8315998236718,50,412.6777582310024,29.71279859263217,-8.171851991220647,0.7065714465111699,91390.1538666037,20180406_LEVS_195_90_R_E.gpx,25,0.007065538096217313,-113.23383873788535,14.770514141115218,-0.2174043010721399
60,60,6620,6905,129.6048574913285,507,4587.183626932703,32.57171806106061,-8.240294303409696,-0.8557952713669732,95978.6154073374,20180406_LEVS_195_90_R_E.gpx,285,-0.008557639344838882,-125.77662714872632,17.465659869569134,-0.23143753951620682
61,61,6905,6954,219.4738156705445,97,608.2385478820943,22.57380177706742,-8.619079114092482,1.916084051494495,96588.68,20180406_LEVS_195_90_R_E.gpx,49,0.019157324148653676,-89.8187394345143,13.672502957443971,-0.2537054636097111
62,62,6954,6990,65.46524710755558,72,545.6550810670014,27.28275405335008,-7.834333817388073,-0.9815813158366428,97137.149952,20180406_LEVS_195_90_R_E.gpx,36,-0.009815340314813683,-98.85271944270308,12.889700746289577,-0.21732163463243068
66,66,7010,7048,73.14028212394217,54,554.5088138665014,36.96725425776677,-8.59042609106051,-2.41687525220319,97966.2,20180406_LEVS_195_90_R_E.gpx,38,-0.024161696783206853,-150.1932484916493,24.04051755708621,-0.26677317165849895
68,68,7060,7117,81.56173938976066,69,759.831996326102,39.64340850397054,-8.52242698811333,-3.011428351631623,98911.2900352,20180406_LEVS_195_90_R_E.gpx,57,-0.030100637925472778,-160.07050074506,29.56793789720196,-0.30786369921977924
69,69,7117,7151,222.1849670546274,70,478.1999999999971,24.59314285714271,-8.569473572687672,1.924442052702609,99386.5999291073,20180406_LEVS_195_90_R_E.gpx,34,0.019240857952892838,-97.75428751216225,11.12168564727634,-0.18961974167275644
70,70,7151,7439,44.90841587802586,297,4134.600063999998,50.11636441212119,-7.090766050275736,-4.742309175156709,103520.7298944,20180406_LEVS_195_90_R_E.gpx,288,-0.047369855456712316,-165.70214533004165,40.6342437306528,-0.4087076809790087
74,74,7447,7478,152.2910108343342,62,571.9299795690022,33.20883752336142,-8.57992551339192,-0.6315796728633352,104222.953742542,20180406_LEVS_195_90_R_E.gpx,31,-0.006315670766083425,-134.1645512994775,17.670694259975956,-0.21951519097037836
75,75,7478,7564,176.9464419847615,240,1084.659980800003,16.26989971200004,-6.391055933915169,2.716089318916377,105315.900032,20180406_LEVS_195_90_R_E.gpx,86,0.027150880241649997,-45.577188860568036,10.766484311027451,-0.39370880405271763
1,1,25,95,210.0564868979152,174,867.319699723229,17.94454551151508,-2.082979846017576,3.320842647314708,1191.03998771184,20180415_LEVS_195_90_R_E.gpx,70,0.033190130484833436,-10.461649624419726,8.423059762563213,-1.3418947720096315
2,2,95,184,96.86925503521434,137,1176.65746395754,30.91946620618353,-20.63777096485069,-2.378381178288861,2369.36998873586,20180415_LEVS_195_90_R_E.gpx,89,-0.02377708774456993,-304.46343045772926,27.856923971214844,-0.15249189877710898
6,6,203,321,103.0933798722532,147,1578.83396986188,38.66532171090319,-9.073735417059375,-2.011361822874231,4237.04991936103,20180415_LEVS_195_90_R_E.gpx,118,-0.020109550903857566,-167.07693535557576,22.93890552777914,-0.2288257749736691
7,7,321,347,213.7334557916442,52,409.44095386553,28.34591219069054,-6.190813037131933,1.463991527515775,4648.16032205112,20180415_LEVS_195_90_R_E.gpx,26,0.014638346661866928,-78.78625107182701,9.805974035090784,-0.20743835169393915
